FC:34:97:30:F1:70;ap-livingroom
FC:34:97:30:F1:80;ap-studio
FC:34:97:31:12:50;ap-topfloor
16:4F:4D:C0:56:B1;catarina-mobile
A8:9C:78:74:03:E7;catarina-iphone-work
56:36:0B:22:B0:EA;theman-phone
8A:C3:F4:8D:E8:A5;theman-macbook
14:13:0B:23:AA:B1;theman-epix
74:13:EA:BD:C5:04;theman-window
10:68:38:B2:1D:AD;isabel-laptop
46:9B:B9:B3:1A:FC;isabel-iphone
02:3A:44:2F:C7:35;leonor-iphone
14:88:E6:2D:DD:6F;leonor-ipad
32:2E:12:04:5E:C6;leonor-macbook
A8:80:55:94:D1:06;studio-heater
A8:03:2A:6A:B8:43;home-espressif
F0:B3:EC:0C:73:2E;home-appletv
00:17:88:20:09:99;home-hue
5C:2F:AF:0D:60:C6;home-energy-socket
34:7E:5C:E4:A4:00;home-sonos-kitchen
34:7E:5C:9C:97:4D;home-sonos-livingroom
3C:6A:9D:20:61:ED;home-frontdoor-camera
C2:CF:F9:EE:23:43;
C6:51:27:71:95:49;
98:B6:E9:B9:C1:EF;
